Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,6/2/20 17:50,Cherry Hill Running,6.0,558,0:44:23,140,154,170,180,7:24,4:26,150,155,1.28,00:02.0,7,208,42195,12632,81.39053148185408
Running,6/1/20 18:10,Cherry Hill Running,6.0,570,0:42:05,148,177,172,180,7:01,5:56,195,192,1.33,06:22.7,6,162,42195,12632,15.490171578706269
Running,5/31/20 19:25,Cherry Hill Running,4.0,358,0:29:02,140,150,172,178,7:16,6:20,108,114,1.29,07:06.8,4,231,42195,12632,86.65522262896084
Running,5/30/20 18:49,Ocean City Running,6.0,571,0:48:04,138,151,170,178,8:01,5:25,49,49,1.18,00:02.9,7,280,42195,12632,36.033105508119846
Running,5/29/20 18:32,Ocean City Running,6.0,466,0:48:03,126,159,170,180,8:00,6:24,34,34,1.19,00:01.9,7,37,42195,12632,66.42761972655083
Running,5/27/20 17:55,Cherry Hill Running,5.0,506,0:36:25,155,165,176,182,7:17,6:29,133,138,1.26,07:00.5,5,274,42195,12632,95.94805619199737
Running,5/26/20 17:26,Cherry Hill Running,6.0,610,0:42:22,158,175,174,184,7:04,0:33,180,183,1.31,06:53.4,6,364,42195,12632,30.900696713816743
Running,5/25/20 15:09,Cherry Hill Running,6.0,592,0:43:20,149,173,174,182,7:13,6:19,178,185,1.28,00:01.4,7,454,42195,12632,50.008375038707975
Running,5/24/20 15:25,Cherry Hill Running,3.91,375,0:29:06,142,158,174,180,7:27,6:38,116,122,1.25,06:38.9,4,425,42195,12632,55.8918859136446
Running,5/23/20 17:03,Cherry Hill Running,3.57,296,0:25:37,132,142,174,180,7:10,5:33,96,101,1.29,03:21.5,4,467,42195,12632,20.3067622652244
Running,5/22/20 17:49,Cherry Hill Running,5.3,498,0:40:47,140,158,174,180,7:42,6:45,146,150,1.2,02:16.7,6,50,42195,12632,20.328316469338105
Running,5/21/20 17:19,Cherry Hill Running,6.0,609,0:45:27,149,161,172,180,7:35,6:24,183,185,1.23,07:29.0,6,35,42195,12632,47.709952326582616
Running,5/19/20 17:42,Cherry Hill Running,6.0,561,0:44:03,143,150,172,180,7:20,6:11,189,193,1.27,00:01.1,7,652,42195,12632,29.530450457216283
Running,5/18/20 18:07,Cherry Hill Running,3.0,274,0:23:55,135,148,172,180,7:58,7:04,87,82,1.18,00:01.6,4,386,42195,12632,59.019318878850335
Running,5/17/20 17:11,Cherry Hill Running,6.22,584,0:45:48,147,160,168,176,7:22,6:28,191,192,1.29,01:41.2,7,150,42195,12632,79.80882408881344
Running,5/15/20 17:06,Cherry Hill Running,2.59,256,0:20:56,142,158,170,178,8:05,6:54,92,95,1.16,05:16.2,3,530,42195,12632,98.60997077938941
Running,5/14/20 17:11,Cherry Hill Running,6.15,602,0:47:36,146,166,170,176,7:44,7:00,208,213,1.23,01:11.7,7,10,42195,12632,65.01707100818105
Running,5/12/20 16:54,Cherry Hill Running,5.01,477,0:37:45,146,158,170,180,7:32,6:50,142,134,1.25,00:05.3,6,398,42195,12632,1.0677005174496212
